id	species	size	synonyms	symbols	descriptions
1171276	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06410; BSU06400	yebG; yebE	hypothetical protein; hypothetical protein
1171277	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	12	BSU06530; BSU06520; BSU06510; BSU06500; BSU06490; BSU06480; BSU06470; BSU06460; BSU06450; BSU06440; BSU06430; BSU06420	purD; purH; purN; purM; purF; purL; purQ; purS; purC; purB; purK; purE	phosphoribosylamine--glycine ligase; bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase; phosphoribosylglycinamide formyltransferase; phosphoribosylaminoimidazole synthetase; amidophosphoribosyltransferase; phosphoribosylformylglycinamidine synthase II; phosphoribosylformylglycinamidine synthase I; phosphoribosylformylglycinamidine synthase subunit PurS; phosphoribosylaminoimidazole-succinocarboxamide synthase; adenylosuccinate lyase; phosphoribosylaminoimidazole carboxylase ATPase subunit; phosphoribosylaminoimidazole carboxylase I
1171278	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU06580; BSU06570; BSU06560	yerC; yerB; yerA	hypothetical protein; lipoprotein; amidohydrolase
1171279	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU06630; BSU06620; BSU06610; BSU06600	yerH; ligA; pcrA; pcrB	lipoprotein; NAD-dependent DNA ligase LigA; ATP-dependent DNA helicase; geranylgeranylglyceryl phosphate synthase-like protein
1171280	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU06690; BSU06680; BSU06670	gatB; gatA; gatC	aspartyl/glutamyl-tRNA amidotransferase subunit B; aspartyl/glutamyl-tRNA amidotransferase subunit A; aspartyl/glutamyl-tRNA amidotransferase subunit C
1171281	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06770; BSU06760	yeeB; yeeA	DNA helicase / endonuclease; restriction type II methylase
1171282	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06812; BSU06811	yeeF; yezG	DNA binding protein; hypothetical protein
1171283	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06839; BSU06830	phrH; rapH	inhibitor of regulatory cascade; response regulator aspartate phosphatase
1171284	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU06860; BSU06850; BSU06840	yezE; yeeK; yeeI	TetR family transcriptional regulator; spore associated protein; hypothetical protein
1171285	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06880; BSU06870	yesF; yesE	hypothetical protein; hypothetical protein
1171286	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU06910; BSU06900; BSU06890	cotJC; cotJB; cotJA	inner spore coat protein; inner spore coat protein; inner spore coat protein
1171287	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU06930; BSU06920	yesK; yesJ	permease; acetyltransferase
1171288	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU06960; BSU06950; BSU06940	yesN; yesM; yesL	two-component response regulator YesM; two-component sensor histidine kinase YesN; permease
1171289	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	8	BSU07040; BSU07030; BSU07020; BSU07010; BSU07000; BSU06990; BSU06980; BSU06970	yesV; yesU; rhgT; yesS; yesR; yesQ; yesP; yesO	integral inner membrane protein; hypothetical protein; rhamnogalacturonan acetylesterase; AraC/XylS family transcriptional regulator; rhamnogalacturonan hydrolase; rhamnogalacturonan permease; rhamnogalacturonan permease; pectin degradation byproducts-binding lipoprotein
1171290	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU07060; BSU07050	yesX; yesW	polysaccharide lyase; polysaccharide lyase; lipoprotein
1171291	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU07090; BSU07080; BSU07070	yetA; yesZ; yesY	hypothetical protein; beta-galacturonidase; rhamnogalacturonan acetylesterase
1171292	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU07130; BSU07120; BSU07110; BSU07100	lplD; lplC; lplB; lplA	glycosidase; ABC transporter permease; ABC transporter permease; lipoprotein
1171293	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU07210; BSU07200	yetK; yetJ	efflux transporter; integral inner membrane protein
1171294	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU07310; BSU07300; BSU07290; BSU07280; BSU07270	yfnD; yfnE; yfnF; yfnG; yfnH	glycosyltransferase; glycosyltransferase; glycosyltransferase; CDP-sugar-dehydratase/epimerase; sugar-phosphate cytidylyltransferase
1171295	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU07360; BSU07350	yfmS; yfmT	chemotaxis sensory transducer; aldehyde dehydrogenase
1171296	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU07400; BSU07390	yfmO; yfmP	metal efflux transporter; MerR family transcriptional regulator
1171297	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU07510; BSU07500; BSU07490	yfmD; yfmE; yfmF	iron-dicitrate ABC transporter permease; iron-dicitrate ABC transporter permease; iron-dicitrate ABC transporter ATP-binding protein
1171298	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU07600; BSU07590; BSU07580	yflP; citT; citS	hypothetical protein; two-component response regulator; two-component sensor histidine kinase
1171299	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU07620; BSU07610	yflN; citM	metal-dependent hydrolase; transporter of divalent metal ions/citrate complexes
1171300	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU07735; BSU07720	yflB; yflD	hypothetical protein; hypothetical protein
1171301	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU07790; BSU07780; BSU07770; BSU07760	yfkQ; yfkR; yfkS; yfkT	spore germination protein; spore germination protein; hypothetical protein; spore germination integral inner membrane protein
1171302	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU07820; BSU07810; BSU07800	treR; treA; treP	GntR family transcriptional regulator; trehalose-6-phosphate hydrolase; phosphotransferase system (PTS) trehalose-specific enzyme IIBC component
1171303	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU07900; BSU07890; BSU07880	yfkH; yfkI; yfkJ	integral inner membrane protein; hypothetical protein; protein-tyrosine-phosphatase
1171304	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU07955; BSU07940	yfkA; yfkC	Fe-S oxidoreductase, radical SAM superfamily; mechanosensitive ion channel
1171305	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08050; BSU08040	yfjL; yfjM	hypothetical protein; hypothetical protein
1171306	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU08090; BSU08080; BSU08070; BSU08060	acoL; acoC; acoB; acoA	dihydrolipoamide dehydrogenase; branched-chain alpha-keto acid dehydrogenase subunit E2; acetoin dehydrogenase E1 component (TPP-dependent beta subunit); acetoin dehydrogenase E1 component (TPP-dependent alpha subunit)
1171307	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08110; BSU08100	sspH; acoR	acid-soluble spore protein H; transcriptional regulator
1171308	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08130; BSU08120	yfjE; yfjF	integral inner membrane protein; hypothetical protein
1171309	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU08170; BSU08160; BSU08150; BSU08140	yfjA; yfjB; yfjC; yfjD	hypothetical protein; hypothetical protein; hypothetical protein; integral inner membrane protein
1171310	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU08220; BSU08210; BSU08200; BSU08190; BSU08180	yfiC; malQ; malP; malR; malA	ABC transporter ATP-binding protein; maltose and maltodextrin ABC transporter subunit ATP-binding protein; phosphotransferase system (PTS) maltose-specific enzyme IICB component; transcriptional activator of the Mal operon; 6-phospho-alpha-glucosidase
1171311	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08240; BSU08230	catE; catD	catechol-2,3-dioxygenase subunit; catechol-2,3-dioxygenase membrane subunit
1171312	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU08280; BSU08270; BSU08260	yfiI; yfiH; yfiG	oxidoreductase; sugar-phosphate epimerase/isomerase; sugar transporter
1171313	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08300; BSU08290	yfiK; yfiJ	two-component response regulator YfiJ; two-component sensor histidine kinase YfiK
1171314	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU08330; BSU08320; BSU08310	yfiN; yfiM; yfiL	ABC transporter permease; ABC transporter permease; ABC transporter ATP-binding protein
1171315	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08380; BSU08370	yfiS; yfiR	efflux transporter; TetR/AcrR family transcriptional regulator
1171316	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08460; BSU08450	yfhA; yfiZ	iron(III) siderophore transport permease; iron(III) siderophore transport permease
1171317	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08530; BSU08520	yfhH; recX	hypothetical protein; recombination regulator RecX
1171318	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08590; BSU08580	yfhM; yfhL	hydrolase; SdpC immunity factor
1171319	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU08860; BSU08850; BSU08840; BSU08830	ssuD; ssuC; ssuA; ssuB	alkanesulfonate monooxygenase; aliphatic sulfonate ABC transporter permease; aliphatic sulfonate ABC transporter binding lipoprotein; aliphatic sulfonate ABC transporter ATP-binding protein
1171320	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU08899; BSU08890	ygzD; ygaO	HTH-type transcriptional regulator; integral inner membrane protein
1171321	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	4	BSU08960; BSU08950; BSU08940; BSU08930	yhbF; yhbE; yhbD; cspR	hypothetical protein; hypothetical protein; nucleic acid binding protein; rRNA methylase
1171322	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU09040; BSU09030; BSU09020; BSU09010; BSU09000; BSU08990	yhcD; yhcC; yhcB; yhcA; yhbJ; yhbI	hypothetical protein; hypothetical protein; oxidoreductase; exporter; integral inner membrane protein; MarR family transcriptional regulator
1171323	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU09090; BSU09080; BSU09070; BSU09060; BSU09050	yhcI; yhcH; yhcG; yhcF; yhcE	ABC transporter permease; ABC transporter ATP-binding protein; ABC transporter ATP-binding protein; GntR family transcriptional regulator; integral inner membrane protein
1171324	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09200; BSU09190	yhcS; yhcR	secreted enzyme; sortase; non specific extracellular endonuclease cleaving RNA and DNA
1171325	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09250; BSU09240	yhcX; yhcW	amidohydrolase; phosphoglycolate phosphatase
1171326	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09270; BSU09260	glpP; yhxA	glycerol-3-phosphate responding transcription antiterminator; aminotransferase
1171327	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09290; BSU09280	glpK; glpF	glycerol kinase; glycerol permease
1171328	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU09340; BSU09330; BSU09320	yhdA; yhcZ; yhcY	oxidoreductase, NAD(P)H-FMN and ferric iron reductase; two-component response regulator YhcY; two-component sensor histidine kinase YhcZ
1171329	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09450; BSU09440	yhdF; citA	NAD(P)-dependent dehydrogenase; citrate synthase I
1171330	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU09520; BSU09510; BSU09500	sigM; yhdL; yhdK	RNA polymerase sigma factor SigM; negative regulator of the activity of sigma-M; negative regulator of the activity of sigma-M
1171331	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09560; BSU09550	cueR; yhdP	copper efflux transcriptional regulator; transporter or sensor
1171332	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU09620; BSU09610; BSU09600	yhdW; yhdV; crcBA	glycerophosphodiester phosphodiesterase; integral membrane protein possibly involved in chromosome condensation; camphor resistance protein CrcB
1171333	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09720; BSU09710	yheH; yheI	ABC transporter ATP-binding protein; ABC transporter ATP-binding protein
1171334	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09780; BSU09770	yheC; yheD	spore coat associated protein; spore coat associated protein
1171335	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09860; BSU09850	khtT; yhaU	K+/H+ antiporter for K+ efflux; transporter involved in K+ efflux
1171336	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU09900; BSU09890	natB; natA	Na+ exporter (ABC permease); Na+-efflux ABC transporter ATP-binding protein
1171337	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU09930; BSU09920; BSU09910	yhaM; yhaN; yhaO	3'-5' exoribonuclease YhaM; ATPase involved in DNA metabolism; exonuclease
1171338	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU10060; BSU10050; BSU10040	ecsC; ecsB; ecsA	hydrolase; ABC transporter membrane protein; ABC transporter ATP-binding protein
1171339	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10100; BSU10090	yhgC; yhgB	hypothetical protein; hypothetical protein
1171340	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU10140; BSU10130; BSU10120	hemY; hemH; hemE	protoporphyrinogen oxidase; ferrochelatase; uroporphyrinogen decarboxylase
1171341	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10210; BSU10200	yhfF; yhfE	hypothetical protein; endoglucanase
1171342	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10250; BSU10240	yhfJ; yhfI	lipoate-protein ligase; metal-dependent hydrolase
1171343	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU10370; BSU10360; BSU10350	bioY; yhfT; yhfS	biotin transporter; acyl-CoA synthetase; acetyl-CoA acetyltransferase
1171344	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10460; BSU10450	yhjC; yhjB	hypothetical protein; Na+/metabolite cotransporter
1171345	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10490; BSU10480	sipV; yhjE	type I signal peptidase; integral inner membrane protein
1171346	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10510; BSU10500	yhjH; yhjG	transcriptional regulator; hypothetical protein
1171347	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU10550; BSU10540; BSU10530	ntdA; ntdB; ntdC	neotrehalosadiamine biosynthesis aminotransferase; neotrehalosadiamine biosynthesis hydrolase; neotrehalosadiamine biosynthesis dehydrogenase
1171348	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU10660; BSU10650; BSU10640; BSU10630; BSU10620	yisB; sbcC; sbcD; addA; addB	nuclease component; DNA ATP-dependent repair enzyme; DNA repair exonuclease; ATP-dependent deoxyribonuclease subunit A; ATP-dependent deoxyribonuclease subunit B
1171349	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	6	BSU10720; BSU10710; BSU10700; BSU10690; BSU10680; BSU10670	gerPA; gerPB; gerPC; gerPD; gerPE; gerPF	spore germination protein; spore germination protein; spore germination protein; spore germination protein; spore germination protein; spore germination protein
1171350	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10840; BSU10830	degA; yisR	LacI family transcriptional regulator; AraC/XylS family transcriptional regulator
1171351	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10870; BSU10860	yisU; yisT	aminoacid related metabolite efflux transporter; hypothetical protein
1171352	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10920; BSU10910	sat; yisZ	sulfate adenylyltransferase; adenylylsulfate kinase
1171353	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10950; BSU10940	yitD; yitC	phosphosulfolactate synthase; 2-phosphosulfolactate phosphatase
1171354	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU10980; BSU10970	yitG; yitF	efflux transporter; enolase superfamily enzyme
1171355	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11000; BSU10990	yitI; yitH	N-acetyltransferase; N-acetyltransferase
1171356	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	3	BSU11070; BSU11055; BSU11040	yitP; yitO; yitM	hypothetical protein; integral inner membrane protein; hypothetical protein
1171357	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11080; BSU11079	yitQ; yizB	hypothetical protein; DNA/RNA binding protein
1171358	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11160; BSU11150	yitW; yitV	hypothetical protein; hydrolase
1171359	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11180; BSU11170	yitZ; yitY	transport protein; FMN/FAD-binding oxidoreductase
1171360	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	7	BSU11250; BSU11240; BSU11230; BSU11220; BSU11210; BSU11200; BSU11190	argF; carB; carA; argD; argB; argJ; argC	ornithine carbamoyltransferase; carbamoyl phosphate synthase large subunit; carbamoyl phosphate synthase small subunit; acetylornithine aminotransferase; acetylglutamate kinase; bifunctional ornithine acetyltransferase/N-acetylglutamate synthase protein; N-acetyl-gamma-glutamyl-phosphate reductase
1171361	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11310; BSU11300	comZ; med	late competence gene; positive regulator of comK
1171362	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11340; BSU11330	fabF; fabHA	3-oxoacyl-ACP synthase; 3-oxoacyl-ACP synthase
1171363	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11370; BSU11360	appF; appD	oligopeptide ABC transporter ATP-binding protein; oligopeptide ABC transporter ATP-binding protein
1171364	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11400; BSU11390	appC; appB	oligopeptide ABC transporter permease; oligopeptide ABC transporter permease
1171365	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	5	BSU11470; BSU11460; BSU11450; BSU11440; BSU11430	oppF; oppD; oppC; oppB; oppA	oligopeptide ABC transporter ATP-binding protein; oligopeptide ABC transporter ATP-binding protein; oligopeptide ABC transporter permease; oligopeptide ABC transporter permease; oligopeptide ABC transporter binding lipoprotein
1171366	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	2	BSU11540; BSU11530	pepF; coiA	oligoendopeptidase F; DNA transport protein
